knot_name,record_index,real_length,twist_angle,multiplicity,length_cutoff,status
7_5,13,2.615110310567454,-0.976689952720797,2,3.0,numerical_unverified
7_5,14,2.659064029107918,-2.7166083212274774,4,3.0,numerical_unverified
7_5,15,2.6618092889890117,-1.9580515167819934,1,3.0,numerical_unverified
7_5,16,2.696914271409201,-2.942578397840888,2,3.0,numerical_unverified
7_5,17,2.723306654569018,-2.918542193399067,2,3.0,numerical_unverified
7_5,18,2.7307919405928534,-2.2509142229537216,2,3.0,numerical_unverified
7_5,19,2.7469522532326986,1.5256734756492831,2,3.0,numerical_unverified
7_5,20,2.8792624679253,1.4937652460046213,2,3.0,numerical_unverified
7_5,21,2.895827876132083,2.7507779602189633,2,3.0,numerical_unverified
7_5,22,2.9134165380028776,-3.099580294529682,2,3.0,numerical_unverified
7_5,23,2.9332537077422702,-1.6295641993933434,2,3.0,numerical_unverified
7_5,24,2.953742425049826,-2.629016553693131,2,3.0,numerical_unverified
7_5,25,2.977204365152895,-0.45682455398951943,2,3.0,numerical_unverified
7_6,0,1.191390146328299,-2.38315026547578,1,3.0,numerical_unverified
7_6,1,1.1982333452415923,-3.0342559488361216,1,3.0,numerical_unverified
7_6,2,1.5958175156391439,1.8955373966086462,1,3.0,numerical_unverified
7_6,3,2.0000886944021943,-1.3165497985697898,1,3.0,numerical_unverified
7_6,4,2.0025774420657196,2.980457872599577,2,3.0,numerical_unverified
7_6,5,2.276017669048776,0.8647924845991787,1,3.0,numerical_unverified
7_6,6,2.3440438982834992,2.109616677888781,4,3.0,numerical_unverified
7_6,7,2.402293449459978,2.5149505950433935,2,3.0,numerical_unverified
7_6,8,2.431622884171867,2.0611809238047853,1,3.0,numerical_unverified
7_6,9,2.491706004615206,-1.9495365597881293,2,3.0,numerical_unverified
7_6,10,2.5284059565067896,-2.897796684994271,2,3.0,numerical_unverified
7_6,11,2.542339882423837,-0.8656970673206407,2,3.0,numerical_unverified
7_6,12,2.5752458564695857,-1.5678022112541745,2,3.0,numerical_unverified
7_6,13,2.710442298799634,0.7166041423890784,2,3.0,numerical_unverified
7_6,14,2.759409874678558,2.4797296146504606,2,3.0,numerical_unverified
